Date,Seed,Epochs,Learning Rate,Depth,Width,Mean,Mean_array,Forgetting
2025-01-05T05_09_54,3,50,0.01,2,75,61.15194329411918,"[88.5579196217494, 39.81390793339863, 71.2913553895411, 70.1913393756294, 35.90519415027736]",14.74233338826087
2025-01-05T06_43_54,3,50,0.01,2,100,59.795302841757156,"[91.20567375886525, 37.75710088148874, 67.39594450373532, 69.63746223564955, 32.9803328290469]",14.045629500052101
2025-01-05T09_21_47,3,50,0.01,5,5,28.67598578848823,"[48.652482269503544, 18.364348677766895, 0.16008537886872998, 29.808660624370592, 46.394351991931416]",48.22550327993657
2025-01-05T09_40_46,3,50,0.01,5,10,37.70266366093186,"[91.4420803782506, 3.525954946131244, 10.672358591248667, 54.33031218529708, 28.54261220373172]",37.30807204937529
2025-01-05T09_58_00,3,50,0.01,5,15,42.38403072384005,"[89.07801418439716, 13.56513222331048, 22.678762006403417, 58.55991943605237, 28.038325769036813]",29.28525246319799
2025-01-05T10_15_49,3,50,0.01,5,20,53.790496641618326,"[95.177304964539, 28.746327130264447, 54.90928495197439, 64.30010070493454, 25.819465456379227]",19.213663552140233
2025-01-05T10_32_57,3,50,0.01,5,50,56.048648455753096,"[94.79905437352247, 35.70029382957885, 60.88580576307364, 64.8036253776435, 24.05446293494705]",17.344846635422254
2025-01-05T10_49_54,3,50,0.01,5,75,58.79252939915161,"[96.8321513002364, 37.12047012732615, 63.44717182497332, 71.95367573011077, 24.609178013111446]",14.988585901211586
2025-01-05T11_06_39,3,50,0.01,5,100,57.30578426382332,"[97.06855791962174, 34.476003917727716, 60.88580576307364, 67.5226586102719, 26.575895108421584]",17.791794666518285
2025-01-05T11_23_05,4,50,0.01,2,5,44.65139949929592,"[88.46335697399526, 25.66111655239961, 31.590181430096052, 44.51158106747231, 33.03076147251639]",31.403048773060416
2025-01-05T11_38_56,4,50,0.01,2,10,56.399016796784636,"[85.05910165484633, 38.736532810969635, 66.06189967982924, 63.74622356495468, 28.391326273323248]",18.579969259252422
2025-01-05T11_55_50,4,50,0.01,2,15,55.763600578420366,"[86.28841607565012, 37.071498530852104, 59.28495197438634, 62.89023162134944, 33.28290468986384]",18.724495306115056
2025-01-05T12_11_51,4,50,0.01,2,20,55.88307260960444,"[79.81087470449172, 36.72869735553379, 65.90181430096051, 66.86807653575025, 30.10590015128593]",19.40416511685666
2025-01-05T12_28_13,4,50,0.01,2,50,59.12597981662435,"[89.03073286052009, 40.30362389813908, 67.55602988260405, 66.51560926485398, 32.22390317700454]",15.032669613370928
2025-01-05T12_44_30,4,50,0.01,2,75,59.3385405081904,"[89.4562647754137, 36.92458374142997, 67.2358591248666, 66.76737160120845, 36.30862329803328]",15.745494985019768
2025-01-05T12_59_58,4,50,0.01,2,100,58.57244731027085,"[85.01182033096927, 33.54554358472086, 69.37033084311632, 71.6012084592145, 33.33333333333333]",17.383725442980733
2025-01-05T13_16_35,4,50,0.01,5,5,23.72209241981806,"[98.77068557919621, 0.04897159647404505, 0.0, 18.27794561933535, 1.5128593040847202]",36.442610802186955
2025-01-05T13_33_45,4,50,0.01,5,10,38.561206526688935,"[95.6501182033097, 0.2448579823702253, 22.411953041622198, 56.092648539778445, 18.406454866364093]",25.944322448859985
2025-01-05T13_50_48,4,50,0.01,5,15,47.934733006459474,"[96.73758865248226, 13.3692458374143, 43.169690501600854, 58.157099697885194, 28.240040342914774]",31.80468950791365
2025-01-05T14_08_17,4,50,0.01,5,20,51.792847252048134,"[90.96926713947991, 26.78746327130264, 48.719316969050155, 65.30715005035248, 27.18103883005547]",24.453632597915586
2025-01-05T14_25_17,4,50,0.01,5,50,52.27409379634294,"[98.0614657210402, 28.256611165524, 48.61259338313768, 63.29305135951662, 23.14674735249622]",20.741833932560347
2025-01-05T14_42_19,4,50,0.01,5,75,57.60779221637135,"[92.43498817966903, 39.17727717923604, 63.23372465314835, 66.11278952668681, 27.08018154311649]",16.8785954924046
2025-01-05T14_58_56,4,50,0.01,5,100,58.28095831033757,"[96.40661938534278, 37.659157688540645, 62.4332977588047, 67.32124874118833, 27.584467977811393]",17.02290601703997
2025-01-05T15_26_58,9,50,0.01,2,5,45.063987159556056,"[84.822695035461, 0.0, 54.53575240128068, 46.12286002014099, 39.83862834089763]",35.2327710383585
2025-01-05T15_43_29,9,50,0.01,2,10,55.64696599181716,"[93.2387706855792, 45.004897159647406, 37.5667022411953, 64.09869083585096, 38.325769036812915]",19.606423581362485
2025-01-05T15_59_51,9,50,0.01,2,15,56.15411065857919,"[86.85579196217495, 36.23898139079334, 61.04589114194236, 60.97683786505539, 35.6530509329299]",19.336067133297572
2025-01-05T16_16_08,9,50,0.01,2,20,54.49675079150036,"[86.99763593380615, 42.21351616062684, 59.44503735325507, 56.646525679758305, 27.18103883005547]",18.704863571482548
2025-01-05T16_33_46,9,50,0.01,2,50,59.67582352823571,"[87.80141843971631, 38.295788442703234, 71.02454642475988, 68.8821752265861, 32.37518910741301]",15.659791803840148
2025-01-05T16_49_34,9,50,0.01,2,75,57.68079019556296,"[88.36879432624114, 37.95298726738492, 68.8367129135539, 64.7532729103726, 28.49218356026223]",16.984406131072483
2025-01-05T17_05_19,9,50,0.01,2,100,59.82869415907396,"[89.12529550827422, 40.989226248775715, 69.63713980789754, 68.68076535750251, 30.71104387291982]",14.870306957080652
2025-01-05T17_20_59,9,50,0.01,5,5,30.810572863058002,"[93.00236406619385, 0.0, 0.0, 45.61933534743202, 15.431164901664147]",19.253949520216878
2025-01-05T17_37_56,9,50,0.01,5,10,29.9887428267263,"[45.815602836879435, 1.909892262487757, 0.9071504802561365, 66.71701913393755, 34.5940494200706]",45.24950750801827
2025-01-05T17_55_05,9,50,0.01,5,15,40.90992887405088,"[94.94089834515367, 13.173359451518118, 29.775880469583775, 38.066465256797585, 28.593040847201213]",26.670839785402165
2025-01-05T18_12_17,9,50,0.01,5,20,47.97595093622651,"[97.06855791962174, 14.495592556317336, 49.57310565635005, 51.20845921450151, 27.53403933434191]",28.403392140015683
2025-01-05T18_31_07,9,50,0.01,5,50,51.58197306940523,"[93.42789598108747, 33.643486777668954, 54.96264674493063, 46.07250755287009, 29.80332829046899]",24.740594746424467
2025-01-05T18_49_06,9,50,0.01,5,75,53.60178112810039,"[97.21040189125296, 21.400587659157686, 57.41728922091782, 67.472306143001, 24.508320726172467]",19.88533004125185
2025-01-05T19_05_15,9,50,0.01,5,100,54.8704238125758,"[96.8321513002364, 31.733594515181196, 53.14834578441836, 66.26384692849949, 26.374180534543623]",22.20286180509722
2025-01-05T19_21_45,10,50,0.01,2,5,33.11338284410495,"[39.290780141843975, 0.7345739471106758, 36.76627534685166, 52.87009063444109, 35.90519415027736]",43.680328927792395
2025-01-05T19_37_40,10,50,0.01,2,10,52.79384125158926,"[91.53664302600473, 27.61998041136141, 59.87193169690501, 54.229607250755286, 30.71104387291982]",21.815091894919355
2025-01-05T19_53_42,10,50,0.01,2,15,54.311281957495815,"[86.6193853427896, 36.28795298726739, 58.217716115261474, 58.20745216515609, 32.22390317700454]",20.811655200171266
2025-01-05T20_11_10,10,50,0.01,2,20,54.73649483950402,"[82.88416075650117, 37.071498530852104, 67.92956243329776, 54.68277945619335, 31.114473020675742]",20.817910613348275
2025-01-05T20_26_54,10,50,0.01,2,50,57.9135710512975,"[85.29550827423168, 35.35749265426053, 66.59551760939168, 66.91842900302115, 35.400907715582456]",17.538550220234672
2025-01-05T20_43_11,10,50,0.01,2,75,59.58371257824714,"[89.40898345153664, 40.45053868756121, 64.83457844183565, 68.63041289023161, 34.5940494200706]",16.545360439590375
2025-01-05T20_59_17,10,50,0.01,2,100,59.309299666396555,"[92.52955082742317, 37.51224289911851, 64.99466382070437, 68.52970795568983, 32.9803328290469]",15.489654646613085
2025-01-05T21_17_58,10,50,0.01,5,5,25.18036284494729,"[40.189125295508276, 0.0, 37.72678762006404, 47.98590130916415, 0.0]",43.28832198999233
2025-01-05T21_35_08,10,50,0.01,5,10,38.51049939982395,"[95.69739952718676, 6.023506366307542, 28.65528281750267, 34.79355488418933, 27.382753403933435]",33.52833102248879
2025-01-05T21_53_49,10,50,0.01,5,15,41.73538022821541,"[93.14420803782507, 13.418217433888344, 24.386339381003204, 55.03524672708963, 22.692889561270803]",30.12254049844788
2025-01-05T22_11_15,10,50,0.01,5,20,50.4773054397579,"[91.20567375886525, 25.51420176297747, 50.480256136606194, 58.45921450151057, 26.727181038830057]",25.621493338239173
2025-01-05T22_27_02,10,50,0.01,5,50,53.99412020957352,"[96.45390070921985, 43.43780607247796, 44.23692636072572, 58.45921450151057, 27.382753403933435]",20.450506933056708
2025-01-05T22_41_41,10,50,0.01,5,75,54.986839817825015,"[95.41371158392435, 38.14887365328109, 57.84418356456777, 55.03524672708963, 28.49218356026223]",21.937772509604414
2025-01-05T22_56_05,10,50,0.01,5,100,54.461478877396736,"[94.46808510638299, 32.85994123408423, 59.49839914621131, 63.74622356495468, 21.73474533535048]",19.240343715960357
